sep=;
name=ipv_match_for_mpls; type=feature; upstream_status=in_progress;
name=arm_bf; type=bug; upstream_status=NA;
name=mlx5_eeh_cmd_time_out; type=feature; upstream_status=in_progress;
name=rss_cx4_caps; type=feature; upstream_status=in_progress;
name=ud_flow_steering;type=exp;upstream_status=NA;
name=mra_on_reply;type=feature;upstream_status=in_progress;
name=restore_ib_guid; type=feature; upstream_status=in_progress;
name=vf_startup;type=feature;upstream_status=NA;
name=local_lb;type=feature;upstream_status=in_progress;
name=mlx5_4k_uar_ofed;type=feature;upstream_status=NA;
name=ipoib_accelerated; type=feature; upstream_status=in_progress;
name=ipoib_offloads_bugs; type=feature; upstream_status=in_progress;
name=rate_limit_en;type=feature;upstream_status=NA;
name=ooo; type=feature; upstream_status=in_progress;
name=ext_err_counters; type=feature; upstream_status=in_progress;
name=link_down_reason; type=feature; upstream_status=in_progress;
name=mlx5_fast_driver_unload; type=feature; upstream_status=in_progress;
name=mlx5_sw_parsing; type=feature; upstream_status=in_progress;
name=ctx_attr;type=feature;upstream_status=NA;
name=set_cpu_eeh; type=bug; upstream_status=in_progress;
name=bluefield; type=feature; upstream_status=in_progress;
name=mlx5_dropless_rq; type=feature; upstream_status=in_progress;
name=mlx5_dscp_phase1; type=feature; upstream_status=in_progress;
name=mlx5_dscp_phase1_sysfs; type=feature; upstream_status=NA;
name=odp_mr; type=feature; upstream_status=in_progress;
name=tag_matching; type=feature; upstream_status=in_progress;
name=mlx5_ib_debugfs_ecn_cfg; type=feature; upstream_status=in_progress;
name=ipoib-ethtool; type=feature; upstream_status=in_progress;
name=nvmf_offload; type=feature; upstream_status=in_progress;
name=rocev2-default; type=feature; upstream_status=in_progress;
name=ipoib_ptp_offloads; type=feature; upstream_status=in_progress;
name=query_values_clock_info; type=exp; upstream_status=NA;
name=cable_event_remove; type=bug; upstream_status=in_progress;
name=lustre_support; type=feature; upstream_status=NA;
name=mlx5_en_perf_misc; type=feature; upstream_status=in_progress;
name=mlx5_wait_for_init; type=bug; upstream_status=in_progress;
name=mlx5_vf_roce_for_pf_only; type=bug; upstream_status=NA;
name=mlx5e_hfunc_sysfs; type=feature; upstream_stats=NA;
name=mlx5e_pfc_stall_prevention_sysfs; type=feature; upstream_stats=in_progress;
name=ipoib_enhanced_pkey; type=feature; upstream_stats=accepted;
name=iommu_soft_lockup_WA; type=bug; upstream_stats=NA;
name=mlx5_adaptive_moderation; type=feature; upstream_status=in_progress;
name=ipoib_sriov; type=feature; upstream_status=in_progress;
name=rdma_cgroup; type=bug; upstream_status=NA
name=mlx5_page_allocation; type=bug; upstream_status=NA;
name=dc_cnak_scale; type=feature; upstream_status=NA;
name=mlx5e_dump; type=feature; upstream_status=NA;
name=mlx5_interface_state_flag_removal; type=bug; upstream_status=in_progress;
name=mlx5e_dscp2prio; type=feature; upstream_status=in_progress;
name=nvmf_bugs; type=bug; upstream_status=NA;
name=vec_calc; type=exp; upstream_status=NA;
name=mlx5_tunnel_offloads; type=feature; upstream_status=in_progress;
name=mlx5_mpw_upstream; type=feature; upstream_status=in_progress;
name=has_smi_sysfs; type=feature; upstream_status=NA;
name=mlx4_crdump; type=feature; upstream_status=in_progress;
name=update_rate; type=feature; upstream_status=in_progress;
name=mlx5_vgtp; type=feature; upstream_status=in_progress;
name=mlx5_steer_drop_count; type=feature; upstream_status=in_progress;
name=fpga; type=feature; upstream_status=NA;
name=mlx5_qinq_vst; type=feature; upstream_status=NA;
name=mlx5_force_tc; type=feature; upstream_status=NA;
name=wait_for_vf_flr; type=bug; upstream_status=in_progress;
name=mlx5_crdump; type=feature; upstream_status=NA;
name=mlx5_vmac; type=feature; upstream_status=in_progress;
name=mlx5e_auto_rx_buffer; type=features; upstream_status=in_progress;
name=mlx5e_rx_buffer_sysfs; type=features; upstream_status=NA;
name=cqe_padding; type=feature; upstream_status=in_progress;
name=mlx5_core_caps; type=feature; upstream_status=in_progress;
name=mlx5_devlink_sysfs_interface; type=feature; upstream_status=NA;
name=mlx5_ib_reps; type=feature; upstream_status=in_progress;
name=memic; type=feature; upstream_status=NA;
name=mlx5_health_event_during_shutdown; type=bug, upstream_status=in_progress;
name=hparm_wc; type=bug; upstream_status=NA;
name=mlx5_delay_event_pci_resume; type=bug; upstream_status=in_progress;
name=mlx5_zero_percent_ets_tc; type=bug; upstream_status=in_progress;
name=ib_sec_shared_qp_bug; type=bug; upstream_status=in_progress;
name=mlx5e_counter_groups; type=feature; upstream_status=NA;
name=bounds_check_alt_port; type=bug; upstream_status=in_progress;
name=mlx5_pci_status_report; type=feature; upstream_status=in_progress;
name=ib_num_char_dev_1024; type=feature; upstream_status=in_progress;
name=mlx5_eqe_resiliency; type=feature; upstream_status=in_progress;
name=phy_stats_sysfs; type=feature; upstream_status=NA;
name=mlx5e_err_cqe; type=feature; upstream_status=in_progress;
name=roce_lag_compat; type=feature; upstream_status=NA;
name=roce_lag_sysfs_control; type=feature; upstream_status=NA;
name=mlx5e_steering_drop_stats; type=feature; upstream_status=in_progress;
name=ib_isert_bugs; type=bug; upstream_status=in_progress;
name=mp_wr; type=feature; upstream_status=NA
name=phys_switch_id_sysfs; type=feature; upstream_status=NA;
name=mlx5_packet_packing_burst; type=feature; upstream_status=in_progress;
name=mlx5_capi_v2; type=feature; upstream_status=NA;
name=tunneled_atomic; type=feature; upstream_status=NA;
name=mlx5_sw_reset; type=feature; upstream_status=in_progress;
name=mlx5_tracer; type=feature; upstream_status=in_progress;
name=mlx5_ib_all_multi; type=feature; upstream_status=in_progress;
name=mlx5_core_sriov_pf_tx_rate; type=feature; upstream_status=in_progress;
name=ibm_as_notify; type=feature; upstream_status=NA;
name=mlx5e_pp_special_queue; type=feature; upstream_status=NA;
name=mlx5_ooo; type=feature; upstream_status=NA;
name=mlx5_extended_striding_rq; type=feature; upstream_status=in_progress;
name=capi_implicit_mr; type=feature; upstream_status=NA;
name=mlx5_frag_qps; type=feature; upstream_status=in_progress;
name=mlx5_diag_cnt; type=feature; upstream_status=in_progress;
name=mlx5_vf_mc_bc_disp; type=feature; upstream_status=in_progress;
name=mlx5_set_ttl; type=feature; upstream_status=NA;
name=mlx5_convert_allocs; type=feature; upstream_status=in_progress;
name=mlx5_RoCE_ICRC_err_cnt; type=feature; upstream_status=in_progress;
name=mlx5_asap; type=feature; upstream_status=in_progress;
name=mlx5_merged_eswitch; type=feature; upstream_status=in_progress;
name=eth_ipoib; type=feature; upstream_status=NA;
name=mlx5e_lro; type=feature; upstream_status=in_progress;
name=mlx5_vf_lag; type=feature; upstream_status=in_progress;
name=bf_compat; type=feature; upstream_status=in_progress;
name=50k_rules; type=feature; upstream_status=NA;
name=flow_actions; type=feature; upstream_status=in_progress;
name=morse_board_support; type=feature; upstream_status=NA;
name=hdr_100; type=feature; upstream_status=in_progress;
name=exp_packet_based_credit; type=feature; upstream_status=NA;
